PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
892,0,3,0,34.5,0,0,7.8292,Q
893,1,3,1,47.0,1,0,7.0,S
894,0,2,0,62.0,0,0,9.6875,Q
895,0,3,0,27.0,0,0,8.6625,S
896,1,3,1,22.0,1,1,12.2875,S
897,0,3,0,14.0,0,0,9.225,S
898,1,3,1,30.0,0,0,7.6292,Q
899,0,2,0,26.0,1,1,29.0,S
900,1,3,1,18.0,0,0,7.2292,C
901,0,3,0,21.0,2,0,24.15,S
902,0,3,0,30.272590361445783,0,0,7.8958,S
903,0,1,0,46.0,0,0,26.0,S
904,1,1,1,23.0,1,0,82.2667,S
905,0,2,0,63.0,1,0,26.0,S
906,1,1,1,47.0,1,0,61.175,S
907,1,2,1,24.0,1,0,27.7208,C
908,0,2,0,35.0,0,0,12.35,Q
909,0,3,0,21.0,0,0,7.225,C
910,1,3,1,27.0,1,0,7.925,S
911,1,3,1,45.0,0,0,7.225,C
912,0,1,0,55.0,1,0,59.4,C
913,0,3,0,9.0,0,1,3.1708,S
914,1,1,1,30.272590361445783,0,0,31.6833,S
915,0,1,0,21.0,0,1,61.3792,C
916,1,1,1,48.0,1,3,262.375,C
917,0,3,0,50.0,1,0,14.5,S
918,1,1,1,22.0,0,1,61.9792,C
919,0,3,0,22.5,0,0,7.225,C
920,0,1,0,41.0,0,0,30.5,S
921,0,3,0,30.272590361445783,2,0,21.6792,C
922,0,2,0,50.0,1,0,26.0,S
923,0,2,0,24.0,2,0,31.5,S
924,1,3,1,33.0,1,2,20.575,S
925,1,3,1,30.272590361445783,1,2,23.45,S
926,0,1,0,30.0,1,0,57.75,C
927,0,3,0,18.5,0,0,7.2292,C
928,1,3,1,30.272590361445783,0,0,8.05,S
929,1,3,1,21.0,0,0,8.6625,S
930,0,3,0,25.0,0,0,9.5,S
931,0,3,0,30.272590361445783,0,0,56.4958,S
932,0,3,0,39.0,0,1,13.4167,C
933,0,1,0,30.272590361445783,0,0,26.55,S
934,0,3,0,41.0,0,0,7.85,S
935,1,2,1,30.0,0,0,13.0,S
936,1,1,1,45.0,1,0,52.5542,S
937,0,3,0,25.0,0,0,7.925,S
938,0,1,0,45.0,0,0,29.7,C
939,0,3,0,30.272590361445783,0,0,7.75,Q
940,1,1,1,60.0,0,0,76.2917,C
941,1,3,1,36.0,0,2,15.9,S
942,0,1,0,24.0,1,0,60.0,S
943,0,2,0,27.0,0,0,15.0333,C
944,1,2,1,20.0,2,1,23.0,S
945,1,1,1,28.0,3,2,263.0,S
946,0,2,0,30.272590361445783,0,0,15.5792,C
947,0,3,0,10.0,4,1,29.125,Q
